model,flap_deg,thrust,gw_lbs,press_alt_ft,oat_c,Vs_kt,V1_kt,Vr_kt,V2_kt,ASD_ft,AGD_ft,note
F-14B,20,Military,60000,0,0,120,132,141,154,4300,5200,PLACEHOLDER_EST
F-14B,20,Military,60000,0,30,123,135,144,157,4700,5600,PLACEHOLDER_EST
F-14B,20,Military,60000,5000,0,123,136,146,158,5200,6100,PLACEHOLDER_EST
F-14B,20,Military,60000,5000,30,126,139,149,162,5600,6600,PLACEHOLDER_EST
F-14B,20,Military,65000,0,0,123,136,146,159,4800,5700,PLACEHOLDER_EST
F-14B,20,Military,65000,0,30,126,139,150,162,5200,6200,PLACEHOLDER_EST
F-14B,20,Military,65000,5000,0,126,139,150,162,5600,6600,PLACEHOLDER_EST
F-14B,20,Military,65000,5000,30,129,143,154,167,6000,7100,PLACEHOLDER_EST
F-14B,20,Military,70000,0,0,126,140,151,164,5300,6300,PLACEHOLDER_EST
F-14B,20,Military,70000,0,30,129,143,155,168,5800,6900,PLACEHOLDER_EST
F-14B,20,Military,70000,5000,0,130,144,156,169,6200,7400,PLACEHOLDER_EST
F-14B,20,Military,70000,5000,30,133,147,160,173,6700,7900,PLACEHOLDER_EST
F-14B,20,Military,74300,0,0,128,142,154,167,5600,6700,PLACEHOLDER_EST
F-14B,20,Military,74300,0,30,131,145,158,171,6100,7300,PLACEHOLDER_EST
F-14B,20,Military,74300,5000,0,133,147,160,173,6600,7900,PLACEHOLDER_EST
F-14B,20,Military,74300,5000,30,136,151,164,178,7100,8500,PLACEHOLDER_EST
F-14B,20,Afterburner,60000,0,0,118,130,139,152,3900,4200,PLACEHOLDER_EST
F-14B,20,Afterburner,60000,0,30,120,132,141,154,4200,4500,PLACEHOLDER_EST
F-14B,20,Afterburner,60000,5000,0,120,133,143,156,4400,4700,PLACEHOLDER_EST
F-14B,20,Afterburner,60000,5000,30,122,135,145,158,4700,5000,PLACEHOLDER_EST
F-14B,20,Afterburner,65000,0,0,121,133,143,156,4200,4500,PLACEHOLDER_EST
F-14B,20,Afterburner,65000,0,30,123,136,146,159,4500,4900,PLACEHOLDER_EST
F-14B,20,Afterburner,65000,5000,0,123,136,147,160,4800,5200,PLACEHOLDER_EST
F-14B,20,Afterburner,65000,5000,30,125,138,149,162,5200,5600,PLACEHOLDER_EST
F-14B,20,Afterburner,70000,0,0,124,137,148,161,4500,4900,PLACEHOLDER_EST
F-14B,20,Afterburner,70000,0,30,126,139,151,164,4900,5400,PLACEHOLDER_EST
F-14B,20,Afterburner,70000,5000,0,127,140,152,165,5300,5900,PLACEHOLDER_EST
F-14B,20,Afterburner,70000,5000,30,129,143,155,168,5800,6500,PLACEHOLDER_EST
F-14B,20,Afterburner,74300,0,0,126,139,151,164,4800,5300,PLACEHOLDER_EST
F-14B,20,Afterburner,74300,0,30,128,141,153,167,5200,5800,PLACEHOLDER_EST
F-14B,20,Afterburner,74300,5000,0,130,143,156,169,5700,6400,PLACEHOLDER_EST
F-14B,20,Afterburner,74300,5000,30,132,145,158,172,6200,7000,PLACEHOLDER_EST
F-14B,40,Military,60000,0,0,116,128,137,149,4200,5100,PLACEHOLDER_EST
F-14B,40,Military,60000,0,30,118,130,139,152,4500,5500,PLACEHOLDER_EST
F-14B,40,Military,60000,5000,0,118,131,141,153,5000,6000,PLACEHOLDER_EST
F-14B,40,Military,60000,5000,30,120,133,143,156,5400,6500,PLACEHOLDER_EST
F-14B,40,Military,70000,0,0,123,136,146,158,5200,6200,PLACEHOLDER_EST
F-14B,40,Military,70000,0,30,126,139,149,162,5700,6900,PLACEHOLDER_EST
F-14B,40,Military,70000,5000,0,128,141,152,165,6200,7600,PLACEHOLDER_EST
F-14B,40,Military,70000,5000,30,131,144,156,169,6800,8300,PLACEHOLDER_EST
F-14B,40,Afterburner,60000,0,0,114,126,135,148,3800,4100,PLACEHOLDER_EST
F-14B,40,Afterburner,60000,0,30,116,128,137,150,4100,4400,PLACEHOLDER_EST
F-14B,40,Afterburner,60000,5000,0,116,129,139,151,4300,4700,PLACEHOLDER_EST
F-14B,40,Afterburner,60000,5000,30,118,131,141,154,4600,5100,PLACEHOLDER_EST
F-14B,40,Afterburner,70000,0,0,121,134,144,156,4500,5400,PLACEHOLDER_EST
F-14B,40,Afterburner,70000,0,30,123,136,147,159,5000,6100,PLACEHOLDER_EST
F-14B,40,Afterburner,70000,5000,0,124,137,148,160,5400,6800,PLACEHOLDER_EST
F-14B,40,Afterburner,70000,5000,30,126,139,151,163,6000,7500,PLACEHOLDER_EST
