model,flap_deg,thrust,gw_lbs,press_alt_ft,oat_c,Vs_kt,V1_kt,Vr_kt,V2_kt,ASD_ft,AGD_ft,note
F-14D,20,Military,60000,0,0,121,133,142,155,4200,5100,PLACEHOLDER_EST
F-14D,20,Military,60000,0,30,123,135,145,157,4600,5500,PLACEHOLDER_EST
F-14D,20,Military,60000,5000,0,123,136,146,158,5100,6000,PLACEHOLDER_EST
F-14D,20,Military,60000,5000,30,126,139,149,162,5500,6500,PLACEHOLDER_EST
F-14D,20,Military,65000,0,0,124,137,147,160,4700,5600,PLACEHOLDER_EST
F-14D,20,Military,65000,0,30,127,140,151,163,5200,6100,PLACEHOLDER_EST
F-14D,20,Military,65000,5000,0,127,140,151,163,5600,6600,PLACEHOLDER_EST
F-14D,20,Military,65000,5000,30,130,144,155,168,6000,7100,PLACEHOLDER_EST
F-14D,20,Military,70000,0,0,127,141,152,165,5200,6100,PLACEHOLDER_EST
F-14D,20,Military,70000,0,30,130,144,156,169,5700,6800,PLACEHOLDER_EST
F-14D,20,Military,70000,5000,0,131,145,157,170,6200,7400,PLACEHOLDER_EST
F-14D,20,Military,70000,5000,30,134,148,161,174,6700,8000,PLACEHOLDER_EST
F-14D,20,Military,74300,0,0,129,143,155,168,5500,6500,PLACEHOLDER_EST
F-14D,20,Military,74300,0,30,132,146,159,172,6000,7100,PLACEHOLDER_EST
F-14D,20,Military,74300,5000,0,134,148,161,174,6500,7700,PLACEHOLDER_EST
F-14D,20,Military,74300,5000,30,137,151,165,178,7000,8300,PLACEHOLDER_EST
F-14D,20,Afterburner,60000,0,0,119,131,140,153,3800,4000,PLACEHOLDER_EST
F-14D,20,Afterburner,60000,0,30,121,133,142,155,4100,4300,PLACEHOLDER_EST
F-14D,20,Afterburner,60000,5000,0,121,134,144,156,4300,4600,PLACEHOLDER_EST
F-14D,20,Afterburner,60000,5000,30,123,136,146,159,4600,4900,PLACEHOLDER_EST
F-14D,20,Afterburner,65000,0,0,122,134,144,157,4100,4300,PLACEHOLDER_EST
F-14D,20,Afterburner,65000,0,30,124,136,147,160,4400,4700,PLACEHOLDER_EST
F-14D,20,Afterburner,65000,5000,0,124,137,148,161,4700,5100,PLACEHOLDER_EST
F-14D,20,Afterburner,65000,5000,30,126,139,150,163,5100,5600,PLACEHOLDER_EST
F-14D,20,Afterburner,70000,0,0,125,138,149,162,4400,4700,PLACEHOLDER_EST
F-14D,20,Afterburner,70000,0,30,127,140,152,165,4800,5200,PLACEHOLDER_EST
F-14D,20,Afterburner,70000,5000,0,127,141,153,166,5200,5700,PLACEHOLDER_EST
F-14D,20,Afterburner,70000,5000,30,129,143,155,168,5700,6300,PLACEHOLDER_EST
F-14D,20,Afterburner,74300,0,0,127,140,152,165,4700,5100,PLACEHOLDER_EST
F-14D,20,Afterburner,74300,0,30,129,142,154,167,5100,5600,PLACEHOLDER_EST
F-14D,20,Afterburner,74300,5000,0,129,142,155,168,5600,6200,PLACEHOLDER_EST
F-14D,20,Afterburner,74300,5000,30,131,145,157,171,6100,6800,PLACEHOLDER_EST
F-14D,40,Military,60000,0,0,116,128,137,149,4100,5000,PLACEHOLDER_EST
F-14D,40,Military,60000,0,30,118,130,139,152,4400,5400,PLACEHOLDER_EST
F-14D,40,Military,60000,5000,0,118,131,141,153,4900,5900,PLACEHOLDER_EST
F-14D,40,Military,60000,5000,30,120,133,143,156,5300,6400,PLACEHOLDER_EST
F-14D,40,Military,70000,0,0,123,136,146,158,5100,6100,PLACEHOLDER_EST
F-14D,40,Military,70000,0,30,126,139,149,162,5600,6800,PLACEHOLDER_EST
F-14D,40,Military,70000,5000,0,127,140,151,164,6100,7500,PLACEHOLDER_EST
F-14D,40,Military,70000,5000,30,130,143,155,168,6700,8200,PLACEHOLDER_EST
F-14D,40,Afterburner,60000,0,0,114,126,135,148,3700,4000,PLACEHOLDER_EST
F-14D,40,Afterburner,60000,0,30,116,128,137,150,4000,4300,PLACEHOLDER_EST
F-14D,40,Afterburner,60000,5000,0,116,129,139,151,4200,4600,PLACEHOLDER_EST
F-14D,40,Afterburner,60000,5000,30,118,131,141,154,4500,5000,PLACEHOLDER_EST
F-14D,40,Afterburner,70000,0,0,121,134,144,156,4400,5200,PLACEHOLDER_EST
F-14D,40,Afterburner,70000,0,30,123,136,147,159,4900,5900,PLACEHOLDER_EST
F-14D,40,Afterburner,70000,5000,0,123,136,147,160,5300,6600,PLACEHOLDER_EST
F-14D,40,Afterburner,70000,5000,30,125,138,149,162,5900,7300,PLACEHOLDER_EST
