Altitude_ft,Mach,PowerSetting,Thrust_lbf,FuelFlow_pph
0,0.0,IDLE,2800.4,1150.0
0,0.0,MIL,16407.8,7235.8
0,0.0,AB1,20009.5,19809.4
0,0.0,AB2,23010.9,27958.3
0,0.0,AB3,25011.9,36017.1
0,0.0,AB4,26512.6,41757.3
0,0.0,MAX,27813.2,47560.6
0,0.2,IDLE,2807.9,1175.0
0,0.2,MIL,16538.6,7293.5
0,0.2,AB1,20169.0,19967.3
0,0.2,AB2,23194.4,28181.2
0,0.2,AB3,25211.3,36304.3
0,0.2,AB4,26724.0,42090.2
0,0.2,MAX,28035.0,47939.8
0,0.4,IDLE,2839.1,1200.0
0,0.4,MIL,17086.5,7535.2
0,0.4,AB1,20837.2,20628.8
0,0.4,AB2,23962.8,29114.8
0,0.4,AB3,26046.5,37507.0
0,0.4,AB4,27609.3,43484.7
0,0.4,MAX,28963.7,49528.0
0,0.6,IDLE,2853.6,1225.0
0,0.6,MIL,17344.3,7648.8
0,0.6,AB1,21151.6,20940.1
0,0.6,AB2,24324.3,29554.0
0,0.6,AB3,26439.5,38072.8
0,0.6,AB4,28025.8,44140.7
0,0.6,MAX,29400.7,50275.2
0,0.8,IDLE,2782.5,1250.0
0,0.8,MIL,16535.4,7365.0
0,0.8,AB1,20165.1,20562.3
0,0.8,AB2,23189.8,29020.9
0,0.8,AB3,25206.3,37386.0
0,0.8,AB4,26718.7,43344.4
0,0.8,MAX,28029.4,49368.3
0,1.0,IDLE,2578.0,1275.0
0,1.0,MIL,15123.5,6802.8
0,1.0,AB1,18443.2,19354.3
0,1.0,AB2,21209.7,27316.0
0,1.0,AB3,23054.0,35189.7
0,1.0,AB4,24437.3,40798.1
0,1.0,MAX,25636.1,46468.0
0,1.2,IDLE,2762.2,1300.0
0,1.2,MIL,16179.4,7349.2
0,1.2,AB1,19731.0,21291.7
0,1.2,AB2,22690.6,30050.3
0,1.2,AB3,24663.7,38712.1
0,1.2,AB4,26143.5,44881.9
0,1.2,MAX,27426.0,51119.4
0,1.4,IDLE,2799.8,1325.0
0,1.4,MIL,16398.9,7521.2
0,1.4,AB1,19998.7,22174.6
