model,flap_deg,thrust,gw_lbs,press_alt_ft,oat_c,Vs_kt,V1_kt,Vr_kt,V2_kt,ASD_ft,AGD_ft
F-14D,20,Military,60000,0,15,122,135,144,156,4200,4700
F-14D,20,Afterburner,60000,0,15,120,132,141,154,3800,3900
F-14D,20,Military,70000,0,15,128,142,152,166,5200,6100
F-14D,20,Afterburner,70000,0,15,126,139,148,163,4600,4700
F-14D,20,Military,70000,2000,15,130,144,154,168,5600,6500
F-14D,20,Afterburner,70000,2000,15,128,141,150,165,5000,5100
F-14D,20,Military,70000,5000,15,134,148,159,173,6100,7200
F-14D,20,Afterburner,70000,5000,15,132,145,155,170,5400,5600
F-14D,20,Military,70000,0,0,124,138,148,162,5000,5800
F-14D,20,Afterburner,70000,0,0,122,135,145,160,4400,4500
F-14D,20,Military,70000,0,30,132,146,157,172,5600,6600
F-14D,20,Afterburner,70000,0,30,130,143,154,169,5000,5200
F-14D,40,Military,70000,0,15,118,131,140,152,4800,5600
F-14D,40,Afterburner,70000,0,15,116,128,137,150,4300,4400
F-14D,40,Military,75000,0,15,122,136,147,159,5600,6700
F-14D,40,Afterburner,75000,0,15,120,133,144,157,5000,5200
F-14D,40,Military,75000,2000,30,128,142,154,167,6400,7600
F-14D,40,Afterburner,75000,2000,30,126,139,151,164,5600,5900
F-14D,20,Military,65000,0,15,125,138,148,161,4700,5400
F-14D,20,Afterburner,65000,0,15,123,136,145,159,4200,4300
F-14D,40,Military,65000,0,15,120,133,142,154,4500,5200
F-14D,40,Afterburner,65000,0,15,118,130,139,152,4000,4100
